20210813000357.030,172.18.151.134,51852,192.168.15.35,5001,3,0.0-0.1,318280,25462400
20210813000357.071,172.18.151.134,51852,192.168.15.35,5001,3,0.1-0.2,131072,10485760
20210813000357.174,172.18.151.134,51852,192.168.15.35,5001,3,0.2-0.3,245280,19622399
20210813000357.277,172.18.151.134,51852,192.168.15.35,5001,3,0.3-0.4,298168,23853440
20210813000357.380,172.18.151.134,51852,192.168.15.35,5001,3,0.4-0.5,490560,39244800
20210813000357.482,172.18.151.134,51852,192.168.15.35,5001,3,0.5-0.6,507424,40593920
20210813000357.604,172.18.151.134,51852,192.168.15.35,5001,3,0.6-0.7,289736,23178880
20210813000357.728,172.18.151.134,51852,192.168.15.35,5001,3,0.7-0.8,306600,24527999
20210813000357.769,172.18.151.134,51852,192.168.15.35,5001,3,0.8-0.9,245280,19622400
20210813000357.893,172.18.151.134,51852,192.168.15.35,5001,3,0.9-1.0,306600,24528000
20210813000358.016,172.18.151.134,51852,192.168.15.35,5001,3,1.0-1.1,245280,19622399
20210813000358.119,172.18.151.134,51852,192.168.15.35,5001,3,1.1-1.2,490560,39244800
20210813000358.181,172.18.151.134,51852,192.168.15.35,5001,3,1.2-1.3,183960,14716799
20210813000358.305,172.18.151.134,51852,192.168.15.35,5001,3,1.3-1.4,429240,34339200
20210813000358.407,172.18.151.134,51852,192.168.15.35,5001,3,1.4-1.5,367920,29433599
20210813000358.508,172.18.151.134,51852,192.168.15.35,5001,3,1.5-1.6,490560,39244799
20210813000358.610,172.18.151.134,51852,192.168.15.35,5001,3,1.6-1.7,490560,39244800
20210813000358.671,172.18.151.134,51852,192.168.15.35,5001,3,1.7-1.8,245280,19622399
20210813000358.773,172.18.151.134,51852,192.168.15.35,5001,3,1.8-1.9,429240,34339200
20210813000358.874,172.18.151.134,51852,192.168.15.35,5001,3,1.9-2.0,490560,39244799
20210813000358.997,172.18.151.134,51852,192.168.15.35,5001,3,2.0-2.1,551880,44150399
20210813000359.098,172.18.151.134,51852,192.168.15.35,5001,3,2.1-2.2,490560,39244799
20210813000359.199,172.18.151.134,51852,192.168.15.35,5001,3,2.2-2.3,490560,39244800
20210813000359.280,172.18.151.134,51852,192.168.15.35,5001,3,2.3-2.4,429240,34339199
20210813000359.402,172.18.151.134,51852,192.168.15.35,5001,3,2.4-2.5,551880,44150399
20210813000359.524,172.18.151.134,51852,192.168.15.35,5001,3,2.5-2.6,551880,44150399
20210813000359.585,172.18.151.134,51852,192.168.15.35,5001,3,2.6-2.7,245280,19622399
